服务中文名称,共享钱包账户查询,服务英文名称,,服务类型,联机服务,返回目录
后端系统,,服务ID,DZ0001,通用域引用范围,无,
,,,,,,
,,,,,,
请求报文,,,,,,
栏位项目名称,中文名称,字段类型,输入长度,必须,数据项说明,备注
TXCODE,交易码,String,6,Y,固定值：DZ0001,"请求报文样例：
http://*.*.*.*/LHECISM/B2CMainPlat_00，采用POST方式，参数为：
1、TXCODE=DZ0001
2、BRANCHID=555000000
3、SERVLET_NAME=B2CMainPlat_00
4、CCB_IBSVersion=V6
5、PT_STYLE=10

注：参数使用明文方式"
BRANCHID,分行号,String,9,Y,固定值：555000000,
SERVLET_NAME,SERVLET名,String,16,Y,固定值：B2CMainPlat_00,
CCB_IBSVersion,应用版本号,String,2,Y,固定值：V6,
PT_STYLE,页面风格,String,1,Y,固定值：10,
USERID,用户ID,String,18,Y,,
SKEY,SKEY,String,10,Y,,
,,,,,,
响应方式为输出互联网HTML页面或移动H5页面,,,,,,
status,交易状态,String,,Y,0-成功，1-失败,"返回json样例：
{""status"":""0"",""msg"":""SUCCESS"",""data"":[{""city_code"":""XXX""…},{""city_code"":""XXX""…,}]}"
msg,返回信息,String,,Y,,
data,返回数据,,,,,
Cptl_AccNo,资金账号,String,40,Y,,
Crdt_TpCd,证件类型代码,String,4,Y,"证件种类。
出金账号行别标志为1且客户类别为1时无需上送，其余情况必须上送",
Crdt_No,证件号码,String,120,Y,,
Cst_MblPh_No,客户手机号,String,50,Y,,
Cst_ID,客户编号,String,18,N,"客户号,暂不提供新一代P6客户号",
Dep_Acdn_Cd,存款事故代码,String,4,Y,"账户状态，如需签约快捷支付，存款事故代码必须为0-正常,
如功能码为05，返回DPAN卡状态，取值为：00-开出，已加载 01-开出，已激活 02-暂停 03-注销 99-开出，未加载",
Dcl_Ind,申报标志,String,1,Y,账户审核状态,
Cst_AccNo_ShrtNm,客户账号简称,String,120,N,,
CcyCd,币种代码,String,3,Y,零钱包币别,
CshEx_Ind,钞汇标志,String,1,Y,零钱包钞汇鉴别,
Oprt_MtIt_ID,经营管理机构编号,String,9,Y,零钱包按一级行人民币头寸行集中核算,
BookEntr_InsID,记账机构编号,String,9,Y,零钱包记账机构,
Book_Bal,账面余额,String,"(15,2)",Y,零钱包账面余额,
Avl_Bal,可用余额,String,"(15,2)",Y,零钱包可用余额,
CardNo,卡号,String,19,Y,建行钱包对应的19位银联标准卡号,
Svc_ID,服务编号,String,240,N,个人静态二维码(N-ELP通过异步方式从P1SVC取回，可能有延迟),
second_flag,二类户开通标志,String,1,Y,0-未开通二类 1-开通二类 2-二类升级中 3-二类升级失败,
